track_id,artist_id,album_id,path,duration,mood/theme
948,87,149,48/948.mp3,212.7,{'background'}
950,87,149,50/950.mp3,248.0,{'background'}
951,87,149,51/951.mp3,199.7,{'background'}
2165,326,347,65/2165.mp3,229.0,{'film'}
2263,320,366,63/2263.mp3,494.7,{'melancholic'}
3346,517,521,46/3346.mp3,195.0,"{'calm', 'melodic'}"
3347,517,521,47/3347.mp3,201.8,"{'calm', 'melodic'}"
3348,517,521,48/3348.mp3,253.3,"{'calm', 'melodic'}"
3349,517,521,49/3349.mp3,228.4,"{'calm', 'melodic'}"
3350,517,521,50/3350.mp3,194.7,"{'calm', 'melodic'}"
3524,530,552,24/3524.mp3,266.1,{'melodic'}
4629,87,718,29/4629.mp3,180.5,{'melodic'}
4631,87,718,31/4631.mp3,334.2,{'melodic'}
4632,87,718,32/4632.mp3,294.3,{'background'}
4638,87,718,38/4638.mp3,180.2,{'children'}
4639,87,718,39/4639.mp3,188.0,"{'relaxing', 'children'}"
4640,87,718,40/4640.mp3,262.4,{'background'}
4882,696,751,82/4882.mp3,210.4,{'meditative'}
4883,696,751,83/4883.mp3,249.5,{'meditative'}
4884,696,751,84/4884.mp3,220.7,{'meditative'}
4889,696,751,89/4889.mp3,179.0,{'meditative'}
5083,696,786,83/5083.mp3,165.4,{'meditative'}
5084,696,786,84/5084.mp3,205.7,{'cool'}
5085,696,786,85/5085.mp3,252.0,{'cool'}
5086,696,786,86/5086.mp3,235.0,{'cool'}
5089,696,786,89/5089.mp3,102.8,{'cool'}
5634,811,867,34/5634.mp3,233.1,"{'space', 'emotional', 'documentary'}"
5635,811,867,35/5635.mp3,232.6,"{'space', 'emotional', 'documentary'}"
5636,811,867,36/5636.mp3,277.4,"{'space', 'emotional', 'documentary'}"
5637,811,867,37/5637.mp3,335.0,"{'space', 'emotional', 'documentary'}"
5638,811,867,38/5638.mp3,225.7,"{'space', 'emotional', 'documentary'}"
5640,811,867,40/5640.mp3,227.3,"{'space', 'emotional', 'documentary'}"
5641,811,867,41/5641.mp3,215.1,"{'space', 'emotional', 'documentary'}"
5642,811,867,42/5642.mp3,217.3,"{'space', 'emotional', 'documentary'}"
5643,811,867,43/5643.mp3,231.6,"{'space', 'emotional', 'documentary'}"
6247,811,960,47/6247.mp3,381.7,{'emotional'}
6248,811,960,48/6248.mp3,249.8,{'documentary'}
6249,811,960,49/6249.mp3,364.7,"{'emotional', 'documentary'}"
6250,811,960,50/6250.mp3,238.4,"{'emotional', 'documentary'}"
6251,811,960,51/6251.mp3,392.4,"{'emotional', 'documentary'}"
6252,811,960,52/6252.mp3,340.8,"{'emotional', 'documentary'}"
6253,811,960,53/6253.mp3,271.8,"{'relaxing', 'emotional', 'documentary'}"
6254,811,960,54/6254.mp3,481.6,"{'relaxing', 'emotional', 'documentary'}"
6256,811,960,56/6256.mp3,236.5,"{'relaxing', 'emotional', 'documentary'}"
6257,811,960,57/6257.mp3,207.8,"{'relaxing', 'emotional', 'documentary'}"
6258,811,960,58/6258.mp3,176.5,"{'relaxing', 'emotional', 'documentary'}"
6606,787,1009,06/6606.mp3,224.9,{'melodic'}
6607,787,1009,07/6607.mp3,251.5,{'melodic'}
6608,787,1009,08/6608.mp3,274.3,{'melodic'}
6609,787,1009,09/6609.mp3,239.3,{'melodic'}
